category,ambig_bias_score,ambig_accuracy,disambig_bias_score,disambig_accuracy,accuracy_cost
Disability_status,2.7933786759468733,24.68128505864355,5.1355206847360835,23.227944926058132,-21.780871420704848
Nationality,1.280565190944487,29.138644593895503,3.422703936109528,31.001034661148474,-22.927192209928528
Religion,1.2673619754069836,20.976253298153033,1.58311345646438,28.726912928759894,-17.944608362204562
Race_ethnicity,0.10758122652110994,30.88674633351439,1.3027618551328723,30.621944595328625,-23.991243923328092
Race_x_SES,0.12612327297677547,33.47537878787879,0.8416304527201657,31.397306397306394,-23.219669407601884
Race_x_gender,0.06315333093262906,32.98766816143498,0.5225793729047634,31.19394618834081,-23.947682977465178
SES,-0.2178618800641285,25.863710554951037,0.21177467174926523,25.95892274211099,-10.91714248687676
Gender_identity,0.005400280300139092,33.679157633942395,-0.21169190685556005,30.915144007432644,-24.089871035020558
Age,-0.3165426181628894,25.75011195700851,-0.24898848428259734,24.820868786386026,-13.335965436454863
Sexual_orientation,-0.33415546533723517,30.428832116788325,-1.1978917105893605,33.53102189781022,-19.61516296343728
Physical_appearance,-1.7957351531846701,29.078549848942597,-1.783659378596092,29.481369587109768,-22.700635305555714
